tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
427,32:52.8,39:59.9,3279,Dixon Mills,40.72163014,-74.04996783,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,42575,Subscriber,1986,1
294,33:21.7,38:15.9,3678,Fairmount Ave,40.72572614,-74.07195926,3195,Sip Ave,40.7308971,-74.06391263,42157,Subscriber,1987,1
208,33:27.8,36:56.3,3267,Morris Canal,40.71241882,-74.03852552,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,42503,Subscriber,1990,1
198,36:03.2,39:21.9,3270,Jersey & 6th St,40.72528911,-74.04557168,3186,Grove St PATH,40.71958612,-74.04311746,42508,Subscriber,1993,1
145,38:12.7,40:37.8,3639,Harborside,40.7192517,-74.034234,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,42358,Subscriber,1993,2
316,38:16.3,43:32.7,3203,Hamilton Park,40.72759597,-74.04424731,3186,Grove St PATH,40.71958612,-74.04311746,42323,Subscriber,1983,1
419,38:21.2,45:20.7,3187,Warren St,40.7211236,-74.03805095,3205,JC Medical Center,40.71653978,-74.04963791,42181,Subscriber,1990,1
2144,41:34.9,17:19.8,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3202,Newport PATH,40.7272235,-74.0337589,42266,Subscriber,1964,2
590,41:35.6,51:26.0,3192,Liberty Light Rail,40.7112423,-74.0557013,3638,Washington St,40.7242941,-74.0354826,42332,Subscriber,1972,1
317,42:39.6,47:56.8,3205,JC Medical Center,40.71653978,-74.04963791,3186,Grove St PATH,40.71958612,-74.04311746,42387,Subscriber,1988,1
496,45:31.7,53:48.4,3210,Pershing Field,40.74267714,-74.05178863,3202,Newport PATH,40.7272235,-74.0337589,42611,Subscriber,1992,1
249,45:42.0,49:51.1,3203,Hamilton Park,40.72759597,-74.04424731,3186,Grove St PATH,40.71958612,-74.04311746,42151,Subscriber,1994,2
94,45:43.3,47:18.2,3211,Newark Ave,40.72152515,-74.04630454,3186,Grove St PATH,40.71958612,-74.04311746,42544,Subscriber,1993,1
286,45:59.7,50:45.8,3196,Riverview Park,40.7443187,-74.0439909,3198,Heights Elevator,40.74871595,-74.0404433,42340,Subscriber,1989,1
604,46:12.0,56:16.1,3210,Pershing Field,40.74267714,-74.05178863,3278,Monmouth and 6th,40.72568548,-74.04879034,42459,Subscriber,1981,1
276,46:27.5,51:03.6,3203,Hamilton Park,40.72759597,-74.04424731,3202,Newport PATH,40.7272235,-74.0337589,42199,Subscriber,1974,1
283,46:35.1,51:18.9,3203,Hamilton Park,40.72759597,-74.04424731,3202,Newport PATH,40.7272235,-74.0337589,42150,Subscriber,1983,1
205,46:52.9,50:18.5,3270,Jersey & 6th St,40.72528911,-74.04557168,3186,Grove St PATH,40.71958612,-74.04311746,42405,Subscriber,1981,1
103,48:02.5,49:46.2,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3639,Harborside,40.7192517,-74.034234,42623,Subscriber,1985,2
469,48:28.5,56:18.0,3278,Monmouth and 6th,40.72568548,-74.04879034,3184,Paulus Hook,40.7141454,-74.0335519,42254,Subscriber,1979,1
215,48:39.1,52:15.0,3639,Harborside,40.7192517,-74.034234,3202,Newport PATH,40.7272235,-74.0337589,42313,Subscriber,1984,1
348,49:35.1,55:24.0,3186,Grove St PATH,40.71958612,-74.04311746,3202,Newport PATH,40.7272235,-74.0337589,42539,Subscriber,1969,1
291,49:57.3,54:48.3,3639,Harborside,40.7192517,-74.034234,3185,City Hall,40.7177325,-74.043845,42497,Subscriber,1988,1
348,51:18.1,57:06.9,3280,Astor Place,40.7192822,-74.07126188,3694,Jackson Square,40.71113,-74.0789,42433,Subscriber,1984,1
148,51:43.4,54:11.7,3214,Essex Light Rail,40.7127742,-74.0364857,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,42400,Subscriber,1984,1
183,53:00.5,56:04.0,3267,Morris Canal,40.71241882,-74.03852552,3275,Columbus Drive,40.7183552,-74.03891444,42614,Subscriber,1989,1
103,53:39.1,55:22.5,3638,Washington St,40.7242941,-74.0354826,3202,Newport PATH,40.7272235,-74.0337589,42332,Subscriber,1994,1
187,54:04.8,57:12.7,3276,Marin Light Rail,40.71458404,-74.04281706,3186,Grove St PATH,40.71958612,-74.04311746,42394,Subscriber,1979,1
590,54:44.6,04:34.7,3269,Brunswick & 6th,40.72601173,-74.05038893,3639,Harborside,40.7192517,-74.034234,42446,Customer,1988,1
147,56:21.3,58:48.8,3639,Harborside,40.7192517,-74.034234,3184,Paulus Hook,40.7141454,-74.0335519,42180,Subscriber,1966,1
355,56:51.5,02:46.8,3679,Bergen Ave,40.72210379,-74.071455,3195,Sip Ave,40.7308971,-74.06391263,42118,Subscriber,1985,1
248,56:55.7,01:04.0,3275,Columbus Drive,40.7183552,-74.03891444,3184,Paulus Hook,40.7141454,-74.0335519,42220,Subscriber,1980,1
380,58:30.0,04:50.1,3278,Monmouth and 6th,40.72568548,-74.04879034,3202,Newport PATH,40.7272235,-74.0337589,42145,Subscriber,1986,2
